13:31:47 | 400 |      83.197µs |       127.0.0.1 | POST    | /api/create      
13:33:47 | 400 |     134.472µs |       127.0.0.1 | POST    | /api/create      
13:34:55 | 200 |     174.918µs |       127.0.0.1 | POST    | /api/create      
13:35:19 | 500 |      85.485µs |       127.0.0.1 | POST    | /api/create       | open public/test-folder/file: no such file or directory
13:37:06 | 500 |     120.259µs |       127.0.0.1 | POST    | /api/create      
13:37:31 | 500 |     198.287µs |       127.0.0.1 | POST    | /api/create      
13:55:52 | 200 |     259.082µs |       127.0.0.1 | POST    | /api/create      
13:55:59 | 101 |      22.053µs |       127.0.0.1 | GET     | /ws/arborescence 
13:56:11 | 200 |     222.631µs |       127.0.0.1 | POST    | /api/create      
13:56:32 | 101 |      15.048µs |       127.0.0.1 | GET     | /ws/arborescence 
13:57:00 | 101 |      13.651µs |       127.0.0.1 | GET     | /ws/arborescence 
